Row,POS_Diff_ADJ,POS_Diff_ADP,POS_Diff_ADV,POS_Diff_AUX,POS_Diff_CCONJ,POS_Diff_DET,POS_Diff_INTJ,POS_Diff_NOUN,POS_Diff_NUM,POS_Diff_PART,POS_Diff_PRON,POS_Diff_PROPN,POS_Diff_PUNCT,POS_Diff_SCONJ,POS_Diff_SPACE,POS_Diff_SYM,POS_Diff_VERB
1068,-0.0356,0.0625,0.0588,-0.0047,-0.0122,-0.0047,0.0,0.014,0.0084,-0.0215,0.026,0.0,-0.0347,-0.0206,0.0252,0.0,-0.0608
1069,-0.0269,0.0113,-0.0288,-0.0574,-0.0382,0.0133,0.0,0.0323,0.0,0.0189,-0.0271,0.0571,0.0874,-0.0458,0.0571,0.0,-0.0536
1070,-0.0161,0.0115,-0.0115,0.0115,-0.0219,-0.0207,0.0,0.0436,0.0,-0.0483,0.0207,0.0,-0.0161,-0.0081,0.0,0.0,0.0552
1071,-0.0033,0.0594,-0.0336,-0.0558,-0.0255,0.0297,0.0,-0.0509,0.0,-0.013,0.023,0.0,-0.0109,0.0248,0.0,0.0,0.0561
1072,-0.0443,0.047,0.0202,0.0093,-0.0404,0.0703,0.0,0.0527,0.0,-0.0381,-0.0071,0.0,-0.0467,-0.0051,0.0194,0.0,-0.0373
1073,-0.0102,0.012,0.0515,-0.0403,-0.036,-0.0222,0.0,0.0447,0.0,-0.0567,0.0335,0.0,-0.0225,0.0109,0.0123,0.0,0.0226
1074,-0.0398,0.1445,0.0453,-0.0324,0.0314,-0.0148,0.0,0.024,0.0,-0.0296,-0.0676,0.0417,-0.013,-0.0593,0.0,0.0,-0.0306
1075,-0.082,0.1128,-0.087,0.0964,-0.0574,0.0605,0.0,0.0718,0.0,-0.0492,-0.0019,0.0,-0.0215,-0.041,0.0,0.0,-0.0019
1076,-0.1135,-0.0709,0.0603,0.0124,-0.0567,-0.0284,0.0,0.0958,0.0,-0.0638,0.0727,0.0,0.1507,-0.0284,0.0,0.0,-0.0302
1077,-0.0371,0.0213,0.0635,0.02,-0.0253,0.0048,0.0123,-0.0341,0.0,-0.0155,-0.0042,0.0,-0.004,-0.0093,0.0184,0.0,-0.0109
1078,-0.0983,-0.0708,0.1006,-0.0041,-0.0031,-0.0177,0.0,-0.0129,0.0,-0.0031,0.0574,0.0,-0.0052,0.0245,0.05,0.0,-0.0171
1079,0.0318,-0.0222,-0.0889,-0.0889,-0.0444,0.2413,0.0,0.2508,0.0,-0.0667,-0.0889,-0.0222,-0.1111,0.1429,0.0,0.0,-0.1333
1080,0.1315,-0.0411,-0.2055,0.0589,0.0726,0.0726,0.0,0.1041,0.0,-0.0548,-0.1096,-0.0137,0.1041,-0.0411,0.0,0.0,-0.0781
1081,0.075,0.1219,-0.0938,-0.0469,-0.0625,0.1688,0.0,0.2281,0.0,-0.0312,-0.0781,-0.0156,-0.125,-0.0156,0.0,0.0,-0.125
1082,0.124,0.0486,0.0674,-0.0943,-0.0566,0.0863,-0.0566,0.2399,0.0,-0.0189,-0.0755,-0.0377,-0.1509,-0.0189,0.0,0.0,-0.0566
1083,-0.0588,0.0662,-0.1373,0.3554,-0.0196,-0.0392,0.0,0.0931,0.0,-0.0588,0.027,-0.0196,0.0074,-0.0196,0.0,0.0,-0.1961
1084,-0.0238,-0.0714,0.0238,0.0,0.0,0.0714,0.0,0.0,0.0,-0.0952,0.0714,-0.0238,0.0715,0.0,0.0,0.0,-0.0238
1085,-0.0943,0.0684,-0.0071,-0.0566,-0.0189,0.0059,0.0,0.1179,0.0,0.0059,-0.0507,-0.0189,-0.0071,0.0,0.0,0.0,0.0554
1086,0.0408,0.0421,-0.0376,0.0006,0.016,0.039,0.0,0.0287,0.0,-0.0185,0.0236,-0.0128,-0.1162,0.0102,0.0057,0.0057,-0.0274
1087,-0.0857,-0.0857,-0.0286,-0.1,0.0571,-0.0429,0.0,0.1571,0.0,-0.0714,0.0572,-0.0143,0.2428,-0.0286,0.0,0.0,-0.0572
1088,-0.0926,-0.0556,0.0707,0.1448,0.0539,-0.037,0.0,-0.0387,0.0909,-0.0556,-0.0017,-0.037,0.0337,-0.037,0.0,0.0,-0.0387
1089,0.0,0.1778,-0.1556,-0.0444,-0.0222,0.1778,0.0,0.1444,0.0,-0.0222,-0.0667,-0.0222,-0.0333,0.0,0.0,0.0,-0.1333
1090,-0.0737,0.0453,0.0516,-0.0274,0.0126,-0.0137,0.0,0.0505,0.0,-0.06,0.0253,-0.02,-0.0474,0.0326,0.0263,0.0,-0.0021
1091,-0.0024,0.0479,-0.003,-0.0369,-0.0187,0.0164,0.0,-0.0059,0.0339,-0.0182,-0.0375,-0.0175,0.0128,0.0333,0.0,0.0,-0.0042
1092,-0.0862,-0.0517,-0.069,-0.1034,-0.0172,0.9655,0.0,-0.1379,0.0,-0.0517,-0.1034,-0.0172,-0.1207,-0.0345,0.0,0.0,-0.1724
1093,-0.0685,-0.0685,-0.1781,-0.0685,-0.0685,-0.0274,0.0,0.8493,0.0,-0.0137,-0.0959,-0.0137,-0.1096,0.0,0.0,0.0,-0.137
1094,-0.0704,0.0153,-0.0411,0.0294,0.0289,-0.0282,0.0,0.0021,0.0286,-0.0137,0.1871,0.0145,-0.1408,0.0004,0.0,0.0,-0.012
1095,-0.0265,0.0245,-0.0441,-0.0265,0.0261,0.0233,0.0,0.0229,0.0102,-0.0322,0.0522,-0.0175,-0.0894,0.0335,0.0204,0.0,0.0229
1096,-0.0316,0.0125,-0.0569,0.0208,-0.0064,0.0566,0.0,0.0333,0.0,-0.0064,-0.015,-0.0147,-0.0758,0.0377,0.0189,0.0,0.0269
1097,-0.0877,0.0452,-0.0668,0.0067,0.0034,0.0594,0.0,-0.081,0.0,0.0034,0.0485,-0.0175,0.0485,-0.0526,0.0769,0.0,0.0134
1098,-0.0741,0.0074,0.0889,-0.0185,0.063,0.063,0.0,-0.0667,0.0,-0.0556,0.0259,-0.0185,-0.1296,-0.0185,0.0,0.0,0.1333
1099,-0.0087,-0.0161,0.1064,-0.0417,-0.0473,0.0038,-0.0164,-0.0101,0.044,-0.0363,0.0078,0.0019,-0.0322,0.022,0.0256,0.0183,-0.0212
1100,0.0645,0.1037,0.0645,-0.098,-0.098,0.1233,0.0,0.0056,0.0,-0.0588,0.0645,-0.0196,0.0056,0.0,0.0,0.0,-0.1569
1101,0.0567,0.1257,-0.1207,-0.0345,-0.0345,-0.0517,0.0,0.1478,0.1429,-0.069,-0.069,0.1257,-0.0123,-0.0345,0.0,0.0,-0.1724
1102,-0.0781,-0.0469,-0.1719,-0.0625,-0.0469,-0.0156,0.0,0.3906,0.0,-0.0469,-0.0938,-0.0156,0.3906,-0.0156,0.0,0.0,-0.1875
1103,0.35,-0.0333,-0.1167,-0.05,-0.0667,-0.0667,0.0,0.4167,0.0,-0.05,-0.0833,-0.0167,-0.1167,-0.0167,0.0,0.0,-0.15
1104,0.008,0.0261,-0.0284,-0.1091,0.125,0.013,-0.0182,0.167,0.0,-0.0545,-0.0779,-0.0182,-0.0568,-0.0364,0.0625,0.0,-0.0023
1105,0.1091,-0.0727,-0.1455,-0.0909,-0.0545,-0.0182,0.0,0.2727,0.0,-0.0545,-0.0545,-0.0182,0.0727,0.0,0.0,0.0,0.0545
1106,-0.0656,0.2677,-0.1967,-0.0656,-0.0492,-0.0164,0.0,0.2513,0.0,-0.0492,-0.1311,0.3169,-0.1311,0.0,0.0,0.0,-0.1311
1107,0.1923,-0.0769,0.0481,-0.1154,-0.0385,-0.0577,0.0,0.0962,0.0,-0.0577,-0.0769,0.0,-0.0962,0.125,0.0,0.125,-0.0673
1108,0.0318,-0.037,0.0688,-0.1296,-0.0185,0.0344,-0.0185,-0.0052,0.0,0.0158,-0.0027,0.0344,0.0847,0.0,0.0714,0.0,-0.1296
1109,-0.076,-0.0102,0.1326,-0.0017,-0.031,-0.0562,-0.0112,0.0331,0.0545,-0.0085,0.0219,-0.0112,-0.0284,0.0364,0.0,0.0,-0.0439
1110,0.0362,0.0367,0.0772,0.0319,0.0091,-0.0087,-0.0179,-0.0169,0.0,-0.0309,-0.0753,0.027,-0.0125,-0.0444,0.0405,0.0,-0.0521
1111,-0.0645,0.1532,-0.0296,-0.0645,-0.0645,-0.0161,0.0,0.1048,0.0,-0.0484,0.0377,0.0,-0.0806,0.051,0.0,0.0,0.0215
1112,-0.0126,-0.0425,0.0716,-0.061,-0.0012,-0.0156,0.0,0.0943,0.0185,-0.0198,-0.0068,0.0,-0.0353,-0.0383,0.037,0.0185,-0.0068
1113,-0.0815,0.0074,0.0963,-0.0092,-0.0444,-0.05,0.0185,-0.0371,0.0185,-0.05,0.0314,0.0,0.0463,-0.0148,0.0185,0.0,0.05
1114,0.0,0.04,0.04,-0.04,-0.06,-0.04,0.0,-0.16,0.0,0.06,0.16,-0.02,-0.02,-0.02,0.0,0.0,0.06
1115,0.019,-0.1143,0.0953,-0.0857,-0.0096,0.0524,0.0,-0.0143,0.0,0.0238,-0.0238,0.0,0.0333,-0.0286,0.0333,0.0,0.019
1116,0.011,-0.0359,0.0744,0.0156,-0.0028,0.0359,-0.0156,-0.0248,0.011,-0.0413,0.0101,0.0074,-0.0166,0.0101,0.0147,0.0,-0.0533
1117,0.026,-0.0104,0.0729,0.0261,-0.0104,-0.0052,0.0,0.0,0.0104,-0.0521,-0.0156,0.0,-0.0052,-0.0157,0.0104,0.0,-0.0312
1118,-0.0961,-0.0198,0.211,-0.0896,0.0101,-0.0066,0.0,0.1281,0.0465,-0.0448,-0.1177,0.0233,-0.0115,-0.0149,0.0,0.0465,-0.0645
1119,-0.0531,-0.0678,0.1484,-0.0025,-0.0152,-0.001,-0.0132,-0.0303,0.038,-0.0268,0.0082,0.0121,-0.004,0.0248,0.0,0.0,-0.0177
1120,-0.0988,-0.0676,0.0519,0.0208,0.0085,0.0208,0.0,0.0006,0.0,0.0415,-0.0222,0.0,0.05,0.0085,0.0,0.0,-0.0137
1121,-0.0493,0.0082,0.0357,-0.0252,-0.0103,0.0161,-0.0126,0.0621,0.0368,-0.0172,-0.063,0.0276,0.0461,-0.039,0.0276,0.0,-0.0436
1122,0.0288,0.0067,-0.0676,-0.0688,-0.0658,-0.0235,-0.0132,0.0807,0.0174,-0.0293,0.0575,0.0116,-0.0049,0.0435,0.0116,0.0058,0.0095
1123,-0.0314,-0.0617,-0.046,-0.1149,-0.0575,0.0073,0.0,0.1651,0.1212,-0.069,-0.1379,0.0909,0.1504,-0.023,0.1212,0.0,-0.1149
1124,-0.0238,0.0442,0.0858,0.0027,-0.0244,-0.0514,0.0,-0.0066,0.0541,-0.013,-0.0368,0.0,-0.0233,0.001,0.027,0.0,-0.0353
1125,-0.0295,-0.0095,0.0756,0.0332,0.0436,-0.0102,-0.0104,-0.0601,0.0319,0.0115,-0.0181,0.0,0.0231,-0.0519,0.0,0.0,-0.0293
1126,-0.0637,-0.0378,0.0256,-0.019,-0.0002,0.0099,0.0115,-0.0381,0.0,-0.0045,0.034,-0.0101,0.0355,0.0129,0.0,0.0057,0.0383
1127,0.0238,-0.0424,0.0036,0.0027,-0.022,0.0256,0.0123,-0.0996,0.0044,-0.0467,0.0767,-0.0079,0.0194,0.03,0.0,0.0,0.0203
1128,-0.0505,-0.0505,0.0226,-0.005,-0.0959,-0.007,0.0513,-0.0892,0.0897,0.0187,-0.0644,0.0,0.1675,0.0039,0.0513,0.0,-0.0427
1129,-0.1023,0.0162,0.0273,0.0385,-0.0235,-0.0058,0.0088,-0.003,-0.0012,-0.0135,0.0039,0.0177,0.025,0.0154,0.0088,0.0,-0.0127
1130,-0.0173,-0.0065,-0.0518,0.0382,-0.0422,0.0262,0.0,-0.045,0.0115,-0.0198,0.0497,0.0,0.0273,0.0121,0.0115,0.0,0.0062
1131,-0.0984,0.0389,-0.0017,-0.0642,-0.0126,0.0096,0.0,0.0044,0.0,0.0302,0.028,-0.0003,0.0077,-0.0113,0.0206,0.0,0.0489
1132,-0.0017,0.0178,0.027,0.0261,-0.0576,0.0135,0.0,-0.0622,0.0072,-0.0205,-0.0056,0.0165,0.0076,0.0105,0.0083,0.0,0.0129
1133,-0.1444,0.0667,-0.0889,-0.0778,0.2666,-0.0222,0.0,-0.2111,-0.0111,0.0,0.1,0.1667,0.0667,-0.0333,0.0,0.0,-0.0778
1134,-0.0626,-0.0031,0.0815,0.0362,-0.0519,0.0191,0.0,-0.1129,0.0122,0.053,-0.0096,0.0061,0.0309,0.0049,0.0183,0.0,-0.0218
1135,-0.0922,-0.0684,0.0837,-0.0028,-0.0952,0.0091,0.0,-0.0681,0.0149,0.0956,0.063,0.003,-0.0355,-0.0089,0.0149,0.0,0.0869
1136,0.0461,-0.0202,0.0874,0.0144,-0.0444,0.0072,-0.0103,-0.0399,0.0278,-0.0305,0.0183,0.0,0.0044,0.0282,0.0278,0.0,-0.1162
1137,-0.0373,0.0929,0.0402,-0.0049,-0.0274,0.0025,-0.005,0.0255,-0.005,0.0102,-0.0473,0.015,0.0102,-0.055,0.015,0.0,-0.0297
1138,-0.0616,-0.0048,0.0345,0.0069,-0.0574,-0.0024,0.0,0.0163,0.015,-0.0082,-0.0031,0.015,0.0027,0.0393,0.0075,0.0,0.0003
1139,-0.0529,0.0769,0.0361,-0.0553,-0.0769,0.0337,0.0,-0.0385,0.0,0.012,0.012,0.0312,0.0073,0.0048,0.0312,0.0,-0.0216
1140,-0.0397,-0.0245,0.0873,-0.0245,-0.0464,-0.0047,0.0,-0.0205,0.0323,0.002,0.0087,-0.0104,0.0457,-0.0151,0.0,0.0,0.0098
1141,-0.0583,0.0205,-0.0225,-0.0134,-0.0128,-0.0116,0.0,0.047,0.0,0.0053,0.0362,-0.0091,-0.0237,-0.0019,0.0339,0.0085,0.0017
1142,-0.05,0.0393,0.0175,-0.0042,-0.0276,-0.0147,-0.0095,-0.0194,0.0139,0.0227,-0.0274,0.0139,0.0046,0.0157,0.0,0.0,0.0254
1143,-0.0968,0.1099,-0.0318,-0.043,-0.0323,0.0112,0.0,0.143,0.0327,-0.0538,0.0449,0.0,-0.0425,-0.043,0.0,0.0,0.0014
1144,-0.098,0.0206,-0.0084,0.0331,-0.0625,0.002,-0.0125,0.0287,0.0,-0.0084,-0.0064,0.0,0.0206,0.0811,0.0,0.0,0.0101
1145,-0.0173,0.0163,0.0479,0.0586,0.003,-0.0096,0.0,-0.0548,0.0227,-0.0405,-0.0286,-0.0108,0.0163,0.0341,0.0,0.0,-0.0375
1146,0.0486,-0.0438,-0.0097,-0.0097,-0.0217,0.0471,0.0,-0.0301,0.0116,-0.0103,-0.033,0.0,0.0484,0.0116,0.0465,0.0,-0.0552
1147,-0.0765,-0.0706,0.0404,0.0551,-0.0353,-0.0103,0.0,-0.0824,0.0147,0.011,0.0426,0.0,-0.0015,0.0316,0.0147,0.0,0.0662
1148,0.0169,-0.024,0.0697,0.024,-0.0673,0.0433,0.0,0.0048,0.0,-0.0481,0.0192,-0.0096,-0.0024,-0.0385,0.0,0.0,0.012
1149,0.1691,-0.069,0.0032,0.1445,-0.1034,0.0246,0.0476,-0.1823,0.0952,-0.046,-0.0329,0.0,0.0624,-0.046,0.0,0.0,-0.0673
1150,-0.0608,0.0174,0.079,-0.0764,-0.0575,-0.0263,0.0,0.0119,0.0469,-0.0419,0.033,0.0312,-0.0139,0.0041,0.0156,0.0,0.0372
1151,-0.0526,0.0122,0.0132,0.0067,-0.0103,0.0373,0.0,0.0911,0.0043,-0.0559,-0.0122,0.0043,0.0259,-0.0158,0.017,0.0,-0.065
1152,0.025,0.18,-0.11,-0.07,0.065,-0.01,-0.01,-0.17,0.0,-0.04,0.005,0.125,-0.09,0.105,0.0,0.0,-0.005
1153,-0.1047,0.0239,0.0239,-0.0172,-0.0814,-0.0233,0.0,0.0012,0.0,-0.0465,0.0942,0.0,0.1291,-0.0116,0.0,0.0,0.0123
1154,-0.0442,-0.0013,0.0169,0.0028,-0.003,0.0395,0.0,0.0027,0.0096,-0.0316,0.0369,0.0048,0.0172,-0.0271,0.0096,0.0,-0.0331
1155,-0.0345,0.0363,-0.0681,-0.069,-0.0517,0.0354,-0.0172,0.1598,-0.0172,-0.0172,-0.0326,0.0354,0.0019,0.0181,0.0,0.1053,-0.0844
1156,0.0894,0.0241,-0.029,0.0121,-0.0217,0.0,0.0,-0.0096,0.0,0.0,0.0265,-0.0217,-0.0966,0.0121,0.0,0.0,0.0145
1157,0.0334,-0.0667,-0.0445,-0.0667,-0.0222,-0.0444,0.0,-0.0555,0.0,0.0334,0.0334,0.0556,0.0556,-0.0111,0.1111,0.0,-0.0111
1158,0.2907,-0.0426,-0.1277,0.2482,0.0,0.0,-0.0213,-0.0638,0.0,-0.0213,0.1418,-0.0213,-0.1489,-0.0426,0.0,0.0,-0.1915
1159,-0.0784,-0.0588,-0.1373,-0.0784,-0.0196,-0.0196,0.0,-0.1373,0.25,-0.0392,0.1127,0.0,0.1324,0.0,0.0,0.0,0.0735
1160,-0.0035,0.0448,0.0395,-0.0052,-0.0017,-0.0017,0.0,-0.0785,0.0,-0.0017,-0.0355,0.0215,-0.032,0.0465,0.0233,0.0,-0.0157
1161,-0.0635,-0.0635,-0.1746,-0.0794,-0.0317,-0.0317,0.0,0.3206,0.0,-0.0317,-0.1905,0.0,0.1048,0.0,0.0,0.0,0.2413
1162,0.0265,0.0767,-0.1164,-0.0344,0.037,-0.0476,0.0,0.0291,0.0,-0.0476,0.127,0.0,0.0291,0.0132,0.0,0.0,-0.0926
1163,0.0485,-0.0334,0.102,-0.0577,0.0,-0.0142,0.0,0.0342,0.0,0.0435,-0.1053,-0.0192,0.0201,-0.0385,0.0,0.0,0.0201
1164,-0.0055,0.0316,0.0109,-0.0248,0.0151,0.0151,0.0,-0.0096,0.0,-0.0206,-0.0288,-0.0013,-0.044,0.0357,0.0,0.0,0.0261
1165,-0.0133,0.0321,0.0384,-0.0525,0.0,0.0259,-0.0196,-0.0267,0.0455,-0.0196,-0.0205,0.0909,-0.0009,-0.0392,0.0455,0.0,-0.0856
1166,-0.0284,-0.0083,0.0317,-0.0243,-0.0203,0.0038,0.0,-0.0127,0.0241,-0.0082,-0.0247,0.0321,-0.0004,-0.0041,0.012,0.0,0.0274
1167,-0.1016,0.0169,0.0242,0.007,-0.0521,-0.0323,-0.0099,0.0386,0.0517,-0.0323,0.113,0.0,-0.099,0.0121,0.0,0.0,0.0635
1168,0.028,-0.0384,0.0906,0.0684,-0.0404,-0.0707,-0.0101,-0.0629,0.0222,0.0443,-0.0687,0.0,0.028,-0.0182,0.0323,0.0,-0.0042
1169,-0.0227,-0.0227,0.0436,-0.0588,-0.0139,-0.007,0.0127,-0.0289,-0.0088,-0.0177,0.0317,0.0127,-0.0209,0.0418,0.0127,0.0,0.0463
1170,-0.0737,0.0374,0.0164,0.1485,-0.0316,-0.0421,-0.0105,0.0433,-0.0211,-0.0421,0.0164,0.0,0.0164,-0.0526,0.0,0.0,-0.0047
1171,-0.0783,-0.0116,-0.0116,-0.1043,-0.0189,0.0652,0.0,-0.0072,-0.0174,-0.0015,0.0624,0.0,0.0043,0.0232,0.0,0.0,0.0957
1172,-0.0219,-0.0357,0.0276,0.0177,-0.0297,-0.0594,0.0,-0.0379,-0.0198,0.0138,0.0215,0.0,-0.0021,0.0276,0.0,0.0,0.0986
1173,-0.0532,-0.0532,0.042,-0.0097,-0.0354,0.0511,-0.0088,0.0315,0.0084,-0.0006,0.0412,0.0,-0.0191,-0.0267,0.0172,0.0,0.0151
1174,0.0349,-0.0765,0.0521,0.0004,-0.0213,0.0434,-0.0128,-0.0972,-0.0256,0.0606,0.0137,0.0,-0.042,0.0434,0.0172,0.0,0.0097
1175,-0.041,-0.014,0.097,0.0359,-0.0149,-0.007,-0.0114,0.0297,0.0192,0.0158,-0.0367,0.0,-0.0446,0.0122,0.0,0.0,-0.0402
1176,-0.0541,-0.059,0.0351,0.0635,-0.001,-0.0209,0.0,-0.0733,-0.0086,0.0398,0.0958,0.0,-0.0305,0.02,0.0,0.0,-0.0068
1177,-0.0453,-0.0031,0.0386,-0.0287,-0.0247,-0.0037,-0.0083,-0.0021,0.0044,0.0383,-0.0194,0.0127,-0.0114,0.0047,0.017,0.0,0.0313
1178,-0.0541,0.0169,-0.0991,-0.0721,-0.027,0.089,0.0,-0.1002,0.0,-0.018,-0.0101,-0.018,0.1689,-0.018,0.0,0.0,0.1419
1179,-0.0688,-0.0221,0.0793,0.024,-0.0538,-0.0615,0.0,-0.0279,0.0,0.0235,0.0331,-0.0154,-0.0221,0.0394,0.0235,0.0,0.0485
1180,0.1047,-0.0762,0.0952,0.0191,-0.0571,-0.019,0.0,-0.1523,0.0,-0.0095,0.0571,-0.0095,-0.0381,0.0762,0.0,0.0,0.0095
1181,0.0528,-0.0512,-0.0045,0.0168,0.0079,-0.0009,0.0,-0.1113,0.0,0.0273,0.0017,0.0088,-0.0512,0.0168,0.0185,0.0,0.0687
1182,-0.0434,-0.07,0.0084,0.0686,-0.0504,0.0546,0.0,-0.0504,0.0,0.0154,0.0253,-0.0168,0.0266,-0.0098,0.0154,0.0,0.0266
1183,0.0218,-0.0863,-0.0038,0.0259,-0.0338,0.0353,0.0,-0.1119,0.0,0.0041,0.0085,0.0176,-0.0323,0.1193,-0.0135,0.0,0.0491
1184,0.0819,0.0,0.0655,0.0574,0.0082,-0.0082,0.0,-0.1066,0.0,0.0246,-0.0246,-0.0082,-0.0656,-0.0164,0.0,0.0,-0.0082
1185,-0.0413,-0.0305,-0.0092,0.0069,-0.0106,0.0268,0.012,-0.0369,0.012,0.0295,-0.0224,0.0027,0.0149,-0.0013,0.0389,0.0,0.0084
1186,0.0083,-0.0583,0.0167,0.0,-0.0167,0.025,0.0,-0.1167,0.025,0.0083,-0.0333,0.0667,0.0583,0.0,0.0,0.0,0.0167
1187,0.0054,-0.0288,0.0081,0.0469,-0.0192,-0.0292,0.0392,-0.0452,0.0,0.0173,0.0008,0.005,0.03,0.0296,-0.0073,0.0,-0.053
1188,-0.064,-0.0619,0.0311,0.005,-0.011,0.1241,0.0,-0.0308,0.0,-0.016,-0.0619,-0.024,-0.0009,0.029,0.0,0.0,0.0812
1189,-0.0515,-0.0294,0.2132,-0.0515,-0.0368,-0.0294,0.0588,-0.1397,-0.0074,-0.0221,0.0294,-0.0147,0.0809,0.0294,-0.0074,0.0,-0.0221
1190,0.0061,-0.0885,0.1158,0.1184,-0.0708,0.0504,0.0,0.045,0.0,-0.0088,-0.0647,0.0681,-0.0116,-0.0354,0.0,0.0,-0.1239
1191,-0.0109,-0.0877,-0.022,0.0394,-0.0439,0.0011,0.0,0.0099,0.0,0.0208,-0.0362,0.0242,0.0702,0.0154,0.0417,0.0,-0.022
1192,-0.0352,0.0005,0.0008,-0.0022,-0.0011,-0.019,0.0068,-0.0168,0.0408,-0.0076,-0.0345,0.0065,0.0553,0.0058,0.0171,0.0,-0.0174
1193,0.0356,-0.0697,-0.0052,-0.0289,-0.0408,0.0339,0.0,-0.0359,-0.0102,-0.0187,-0.0154,-0.0102,0.1238,-0.0306,0.129,0.0,-0.0563
1194,0.0191,0.0238,-0.0219,-0.03,0.0037,0.0324,0.0,0.0432,0.004,-0.0253,-0.03,-0.0083,0.0155,0.008,0.0123,0.0,-0.0466
1195,-0.0078,0.0098,-0.0294,-0.0015,-0.0105,-0.0222,0.0,0.0483,0.0,0.0108,-0.0348,0.0027,0.0035,-0.0036,0.076,0.0058,-0.0474
1196,-0.0521,-0.0006,0.0381,-0.0628,-0.0056,-0.0499,0.0168,0.0504,0.0661,0.005,-0.009,-0.0011,-0.028,0.023,0.0336,0.0,-0.0241
1197,0.0266,0.0333,-0.0094,-0.0281,-0.0158,0.0167,0.0,0.0935,0.0213,-0.0226,-0.0518,-0.0056,0.0143,0.0078,0.0067,0.0067,-0.0934
1198,0.1647,-0.0941,0.0353,-0.0353,0.1765,-0.0471,-0.0118,0.0588,-0.0118,-0.0588,-0.1059,-0.0235,0.0941,-0.0353,0.0,0.0,-0.1059
1199,0.0067,-0.0003,-0.0012,-0.0076,0.0283,-0.0501,0.0,-0.0012,0.007,-0.0073,-0.0006,0.014,-0.0222,-0.0073,0.0,0.0,0.042
1200,-0.0068,0.0473,-0.0012,-0.0152,-0.0291,-0.0485,-0.0097,-0.0498,0.032,0.0431,-0.0123,0.0111,0.0182,0.0029,0.0208,0.0,-0.0026
1201,0.1731,0.0481,0.0151,-0.044,-0.022,-0.033,0.0,0.0632,-0.011,-0.022,-0.1429,-0.022,0.1291,-0.033,0.0,0.0,-0.0989
1202,-0.0285,-0.0543,-0.0352,-0.0067,0.015,0.0041,0.0,0.0751,0.0,-0.0217,-0.0828,0.0259,0.1077,-0.0435,0.0476,0.0476,-0.0502
1203,-0.0141,0.0554,0.0246,-0.0476,0.0145,-0.0213,0.0,-0.083,-0.0095,-0.0118,0.0794,-0.0286,-0.0163,0.024,0.0,0.0,0.0341
1204,-0.002,-0.0128,-0.045,-0.0128,0.0195,-0.002,-0.0108,0.0155,-0.0108,0.041,-0.045,-0.0323,0.0175,0.0302,0.0,0.0,0.0497
1205,0.0246,-0.0503,0.0936,-0.0515,0.0011,0.0035,-0.0105,0.0188,-0.0105,-0.0082,-0.0479,0.0233,-0.0386,0.0351,0.0,0.0,0.0175
1206,-0.006,-0.0007,-0.0637,-0.0255,-0.0164,0.0016,0.0,-0.0141,0.0106,0.0196,0.0258,0.0196,0.0078,-0.0307,0.0196,0.0,0.0528
1207,0.0102,0.0204,0.0204,0.0,0.0,0.0204,0.0,0.051,0.0,-0.0102,-0.0409,0.0408,-0.0919,-0.0204,0.0,0.0,0.0
1208,-0.0698,-0.0079,0.0683,-0.0142,-0.0233,0.0503,-0.0233,0.0218,-0.0116,0.0529,-0.084,-0.0142,-0.0079,0.018,0.0323,0.0,0.0127
1209,0.0119,-0.0059,-0.0119,0.0655,0.006,-0.0416,0.006,-0.0953,0.006,-0.0357,0.0774,-0.0178,-0.0476,0.0238,0.0179,0.0,0.0417
1210,-0.0135,0.0271,-0.0135,-0.0135,0.0136,-0.0135,0.0,0.054,-0.0135,0.0135,-0.027,-0.0541,0.0676,-0.027,0.027,0.0,-0.027
1211,-0.05,-0.0465,-0.023,-0.0065,0.0235,-0.0265,0.0,-0.093,0.077,-0.02,0.0774,-0.02,-0.033,0.0335,0.087,0.0,0.0204
1212,-0.0079,0.0312,0.0456,-0.0442,-0.0331,-0.022,0.0084,0.0153,0.0252,0.0198,-0.0548,0.0225,0.0035,-0.0165,0.042,0.0,-0.0352
1213,-0.0394,0.0466,-0.0641,-0.0647,0.0106,-0.0147,0.0127,0.0978,0.0027,-0.07,-0.0214,0.028,0.0186,-0.0073,0.038,0.0,0.0266
1214,0.1105,-0.1011,-0.0852,-0.0449,-0.0112,-0.0449,-0.0112,-0.0131,-0.0112,0.0608,-0.0066,-0.0225,-0.0515,-0.0112,0.0833,0.0,0.1601
1215,-0.0192,-0.015,0.012,0.0325,-0.0117,-0.0147,-0.01,0.0211,0.0,-0.0075,0.0035,0.0083,-0.025,0.0083,0.034,0.0,-0.0167
1216,0.0438,-0.0369,0.054,-0.0353,-0.0133,-0.0353,-0.0118,0.0391,0.0,0.0337,-0.0283,-0.0118,-0.0267,-0.0353,0.0,0.0,0.0642
1217,-0.0044,0.0454,-0.0962,-0.0436,0.0272,0.0062,0.0091,0.0698,-0.0105,0.0076,-0.0795,0.0181,-0.069,0.0377,0.0196,0.0,0.0622
1218,-0.0177,0.0116,0.0468,-0.0393,-0.0079,0.0058,0.0,-0.0395,0.0,0.0176,-0.0335,0.0,-0.0354,0.0077,0.0548,0.0,0.0292
